Tokenized,Truth
"['alex', 'jones', 'vindicated', 'in', 'pizzagate', 'controversy', 'alex', 'jones', 'purveyor', 'of', 'the', 'independent', 'investigative', 'news', 'website', 'infowars', 'and', 'host', 'of', 'the', 'alex', 'jones', 'show', 'has', 'been', 'vindicated', 'in', 'his', 'claims', 'regarding', 'the', 'socalled', 'pizzagate', 'controversy', 'jones', 'and', 'others', 'uncovered', 'evidence', 'last', 'year', 'that', 'top', 'democratic', 'party', 'officials', 'were', 'involved', 'in', 'a', 'bizarre', 'satanic', 'child', 'sex', 'cult', 'and', 'pornography', 'ring', 'using', 'the', 'washington', 'dc', 'pizza', 'parlor', 'comet', 'ping', 'pong', 'pizza', 'as', 'a', 'front', 'the', 'allegations', 'rocked', 'the', 'democratic', 'party', 'and', 'may', 'have', 'caused', 'serious', 'damage', 'to', 'the', 'hillary', 'clinton', 'presidential', 'campaign', 'top', 'us', 'federal', 'investigators', 'have', 'now', 'confirmed', 'that', 'they', 'have', 'verified', 'many', 'of', 'these', 'claims', 'after', 'executing', 'raids', 'on', 'the', 'offices', 'of', 'several', 'of', 'the', 'key', 'players', 'charges', 'are', 'expected', 'to', 'be', 'filed', 'in', 'the', 'coming', 'days', 'the', 'news', 'comes', 'as', 'a', 'welcome', 'vindication', 'for', 'jones', 'who', 'has', 'been', 'accused', 'by', 'many', 'mainstream', 'media', 'outlets', 'of', 'being', 'a', 'conspiracy', 'theorist', 'and', 'of', 'publishing', 'fake', 'news', 'mr', 'jones', 'has', 'often', 'drawn', 'controversy', 'and', 'was', 'scapegoated', 'in', 'media', 'reports', 'as', 'an', 'example', 'of', 'how', 'inaccurate', 'and', 'misleading', 'news', 'proliferated', 'on', 'social', 'media', 'websites', 'like', 'facebook', 'youtube', 'and', 'twitter', 'during', 'the', '2016', 'election', 'jones', 'has', 'also', 'exposed', 'inconsistencies', 'in', 'the', 'official', 'government', 'accounts', 'of', 'the', '911', 'terrorist', 'attacks', 'and', 'the', 'sandy', 'hook', 'school', 'shooting', 'in', 'newtown', 'connecticut']",0
"['the', 'big', 'data', 'conspiracy', 'government', 'and', 'silicon', 'valley', 'are', 'looking', 'to', 'enslave', 'us', 'companies', 'like', 'mint', 'and', 'betterment', 'are', 'in', 'on', 'it', 'to', 'actually', 'they', 'are', 'the', 'tip', 'of', 'the', 'iceberg', 'under', 'government', 'pressure', 'companies', 'are', 'complying', 'to', 'get', 'as', 'much', 'information', 'as', 'they', 'can', 'from', 'you', 'to', 'sell', 'it', 'or', 'just', 'give', 'it', 'to', 'the', 'government', 'so', 'that', 'in', 'the', 'no', 'so', 'far', 'future', 'can', 'institute', 'a', 'police', 'state', 'in', 'a', 'matter', 'of', 'one', 'month', 'the', 'funds', 'created', 'from', 'this', 'heist', 'will', 'be', 'controlled', 'by', 'a', 'few', 'select', 'families', 'and', 'the', 'one', 'world', 'government', 'that', 'still', 'lives', 'in', 'the', 'shadows']",0
"['california', 'surprisingly', 'lenient', 'on', 'auto', 'emissions', 'standards', 'setting', 'up', 'faceoff', 'with', 'trump', 'californias', 'cleanair', 'agency', 'voted', 'on', 'friday', 'to', 'reevaluate', 'their', 'stricter', 'emissions', 'standards', 'for', 'cars', 'and', 'trucks', 'the', 'vote', 'by', 'the', 'california', 'air', 'resources', 'board', 'is', 'the', 'boldest', 'indication', 'yet', 'of', 'californias', 'indecision', 'in', 'environmental', 'policy', 'leading', 'politicians', 'in', 'the', 'state', 'from', 'the', 'governor', 'down', 'to', 'many', 'mayors', 'have', 'promised', 'speak', 'for', 'the', 'people', 'mr', 'trump', 'backing', 'industry', 'over', 'environmental', 'concerns', 'said', 'easing', 'emissions', 'rules', 'would', 'help', 'stimulate', 'auto', 'manufacturing', 'he', 'vowed', 'last', 'week', 'to', 'loosen', 'the', 'regulations', 'automakers', 'are', 'aggressively', 'pursuing', 'those', 'changes', 'after', 'years', 'of', 'supporting', 'stricter', 'standards']",0
"['mexicans', 'are', 'chomping', 'at', 'the', 'bit', 'to', 'stop', 'nafta', 'renegotiation', 'meetings', 'mexico', 'has', 'been', 'unfairly', 'gaining', 'from', 'nafta', 'as', 'it', 'stands', 'now', 'placing', 'profits', 'derived', 'from', 'the', 'measure', 'as', 'the', 'main', 'source', 'of', 'the', 'countrys', 'economic', 'growth', 'this', 'comes', 'of', 'course', 'at', 'the', 'expense', 'of', 'american', 'companies', 'and', 'consumers', 'with', 'the', 'influx', 'of', 'inexpensive', 'avocados', 'cheap', 'corn', 'cattle', 'and', 'software', 'american', 'companies', 'can', 'not', 'compete', 'president', 'trump', 'has', 'been', 'very', 'adamant', 'about', 'shifting', 'the', 'terms', 'of', 'the', 'agreement', 'to', 'favor', 'american', 'trade', 'even', 'going', 'so', 'far', 'as', 'to', 'upend', 'the', 'nearly', '500', 'billion', 'annual', 'trade', 'between', 'the', 'us', 'and', 'mexico', 'mexican', 'leadership', 'has', 'been', 'quite', 'outspoken', 'about', 'halting', 'these', 'changes', 'since', 'they', 'unfairly', 'benefit', 'from', 'the', 'trade', 'deal', 'and', 'has', 'urged', 'president', 'trump', 'to', 'back', 'down', 'from', 'his', 'stance']",0
"['breaking', 'news', 'snapchat', 'to', 'purchase', 'twitter', 'for', '255', 'billion', 'yahoo', 'and', 'aol', 'could', 'be', 'extremely', 'popular', 'over', 'the', 'next', 'decade', 'and', 'revenues', 'are', 'expected', 'to', 'skyrocket', 'by', '2020', 'this', 'forecast', 'is', 'based', 'on', 'the', 'advertisers', 'that', 'target', 'a', 'younger', 'audience', 'half', 'of', 'the', 'users', 'are', 'under', 'the', 'age', 'of', '30', 'compared', 'to', 'facebook', 'and', 'google', 'which', 'cover', 'the', 'older', 'market', 'as', 'per', 'the', 'recent', 'analysis', 'posting', 'by', 'the', 'washington', 'post', 'facebook', 'and', 'google', 'will', 'be', 'challenged', 'the', 'current', 'advertising', 'practices', 'have', 'received', 'extreme', 'criticism', 'the', 'web', 'giants', 'currently', 'hold', 'a', '50', 'stake', 'in', 'the', 'global', 'ad', 'market', 'and', 'are', 'currently', 'seeing', 'a', 'small', 'decline', 'in', 'their', 'users']",0
"['brexit', 'talks', 'are', 'seeing', 'success', 'josé', 'manuel', 'barroso', 'the', 'negotiations', 'we', 'are', 'going', 'great', 'according', 'to', 'european', 'commissioner', 'jose', 'manual', 'barroso', 'unless', 'both', 'britain', 'and', 'the', 'european', 'union', 'completely', 'change', 'their', 'angle', 'in', 'the', 'coming', 'talks', 'the', 'talks', 'are', 'going', 'to', 'come', 'out', 'with', 'the', 'greatest', 'success', 'possible', 'theresa', 'may', 'has', 'formally', 'notified', 'brussels', 'of', 'the', 'uks', 'intention', 'to', 'stay', 'in', 'the', 'eu', 'theresa', 'has', 'said', 'that', 'this', 'deal', 'is', 'the', 'best', 'deal', 'that', 'could', 'have', 'possibly', 'been', 'negotiated']",0
"['robots', 'taking', 'over', 'the', 'world', 'robots', 'are', 'slowly', 'taking', 'over', 'the', 'workforce', 'of', 'the', 'world', 'over', '20', 'million', 'workers', 'in', 'the', 'uk', 'have', 'lost', 'their', 'jobs', 'to', 'the', 'robotics', 'world', 'the', 'consultancy', 'firm', 'pwc', 'has', 'found', 'that', 'over', '50', 'of', 'companies', 'have', 'already', 'started', 'using', 'the', 'technological', 'advances', 'of', 'artificial', 'intelligence', 'ai', 'to', 'replace', 'the', 'jobs', 'originally', 'given', 'to', 'everyday', 'citizens', 'former', 'employees', 'of', 'these', 'companies', 'are', 'at', 'a', 'complete', 'loss', 'they', 'have', 'lost', 'their', 'jobs', 'to', 'the', 'robotic', 'industry', 'and', 'have', 'found', 'it', 'chillingly', 'difficult', 'to', 'find', 'replacement', 'jobs', 'elsewhere', 'companies', 'believe', 'that', 'the', 'ai', 'robots', 'are', 'boosting', 'productivity', 'in', 'their', 'factories', 'and', 'are', 'great', 'replacement', 'for', 'workers', 'who', 'originally', 'were', 'hired', 'for', 'lowskill', 'tasks', 'pwc', 'says', 'this', 'is', 'just', 'the', 'start', 'of', 'the', 'incorporation', 'of', 'ai', 'in', 'society', 'right', 'now', '3', 'million', 'jobs', 'in', 'wholesale', 'and', 'retailing', 'which', 'at', 'one', 'time', 'hired', 'the', 'most', 'people', 'in', 'the', 'uk', 'have', 'already', 'been', 'replaced', 'by', 'ai', 'next', 'they', 'will', 'begin', 'incorporating', 'ai', 'into', 'manufacturing', 'then', 'administrative', 'and', 'support', 'services', 'soon', 'companies', 'will', 'be', 'using', 'ai', 'for', '95', 'of', 'the', 'work', 'within', 'their', 'company', 'saving', 'them', 'millions', 'and', 'millions', 'of', 'dollars', 'they', 'would', 'have', 'had', 'to', 'pay', 'to', 'their', 'human', 'employees']",0
"['brewdog', 'under', 'fire', 'for', 'accusations', 'of', 'canine', 'involvement', 'in', 'their', 'brewing', 'process', 'brewdog', 'was', 'recently', 'found', 'to', 'include', 'dog', 'saliva', 'in', 'their', 'brewing', 'process', 'brewdog', 'reports', 'that', 'they', 'has', 'been', 'serving', 'the', 'beer', 'for', 'a', 'few', 'weeks', 'now', 'and', 'have', 'had', 'no', 'complaints', 'from', 'the', 'customers', 'brewdog', 'states', 'the', 'saliva', 'helps', 'to', 'break', 'down', 'some', 'of', 'the', 'grains', 'and', 'adds', 'a', 'little', 'extra', 'bark', 'to', 'the', 'final', 'brew', 'tony', 'green', 'the', 'bar', 'owner', 'of', 'draft', 'punk', 'has', 'filed', 'lawsuits', 'against', 'the', 'company', 'stating', 'that', 'the', 'customers', 'should', 'know', 'what', 'is', 'in', 'the', 'beer', 'they', 'are', 'consuming', 'green', 'has', 'since', 'stopped', 'carrying', 'brewdog', 'beers', 'due', 'to', 'this', 'recent', 'information', 'brewdog', 'has', 'declined', 'to', 'comment', 'on', 'the', 'lawsuit']",0
"['tesco', 'will', 'not', 'pay', 'out', 'any', 'money', 'to', 'settle', 'investigations', 'by', 'the', 'serious', 'fraud', 'office', 'and', 'financial', 'conduct', 'authority', 'into', 'the', '2014', 'accounting', 'scandal', 'that', 'rocked', 'britains', 'biggest', 'retailer', 'it', 'will', 'pay', '£000', 'as', 'part', 'of', 'a', 'deferred', 'prosecution', 'agreement', 'dpa', 'with', 'the', 'sfo', 'as', 'this', 'deal', 'does', 'not', 'require', 'court', 'approval', 'the', 'dpa', 'relates', 'to', 'tesco', 'subsidiary', 'tesco', 'stores', 'ltd', 'the', 'supermarket', 'group', 'has', 'not', 'agreed', 'with', 'the', 'fca', 'to', 'pay', 'any', 'compensation', 'to', 'the', 'investors', 'affected', 'by', 'a', 'trading', 'statement', 'on', '29', 'august', '2014', 'that', 'understated', 'stated', 'profits', 'tesco', 'will', 'not', 'pay', 'legal', 'costs', 'associated', 'with', 'the', 'agreements', 'and', 'said', 'the', 'total', 'exceptional', 'charge', 'was', 'expected', 'to', 'be', '£000']",0
"['uber', 'to', 'open', 'new', 'headquarters', 'in', 'denmark', 'despite', 'new', 'laws', 'despite', 'the', 'introduction', 'of', 'new', 'taxi', 'laws', 'in', 'denmark', 'the', 'uber', 'has', 'said', 'this', 'is', 'not', 'a', 'setback', 'for', 'the', 'us', 'ridebooking', 'service', 'in', 'eurpoe', 'a', 'company', 'spokesman', 'kristian', 'agerbo', 'said', 'on', 'tuesday', 'uber', 'must', 'take', 'the', 'consequences', 'of', 'the', 'rules', 'which', 'among', 'other', 'things', 'will', 'require', 'cabs', 'to', 'be', 'fitted', 'with', 'seat', 'occupancy', 'sensors', 'and', 'fare', 'meters', 'and', 'pass', 'it', 'on', 'to', 'the', 'drivers', 'uber', 'ordered', 'a', 'new', 'fleet', 'of', 'selfdriving', 'cars', 'following', 'arizona', 'crash', 'to', 'be', 'created', 'and', 'tested', 'to', 'comply', 'with', 'these', 'new', 'laws', 'uber', 'has', 'not', 'faced', 'problems', 'in', 'cities', 'like', 'madrid', 'frankfurt', 'paris', 'and', 'london', 'has', 'long', 'been', 'lauded', 'as', 'the', 'transportations', 'service', 'of', 'the', 'digital', 'age', 'they', 'plan', 'to', 'mass', 'produce', 'these', 'new', 'sensors', 'and', 'meters', 'and', 'offer', 'them', 'to', 'their', 'drivers', 'on', 'a', 'rental', 'basis', 'to', 'add', 'to', 'their', 'profit', 'lines', 'depending', 'on', 'success', 'they', 'may', 'be', 'made', 'available', 'to', 'other', 'driving', 'companies', 'as', 'well']",0
